LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
vaqngal;noce;PPS
vaqle;noces;PPP
vaqango;procurer une epouse;VIA
vaqtugo;lever;VIA
vaqtaago;revenir d'un paturage;VIM
vaqtal;poteau central d'une case;PPS
vaqte;poteaux centraux des cases;PPP
vaqtingo;faire relever;VIA
vare;fourreau;NCS
vareeji;fourreaux;NCP
vaaraago;s'appuyer contre;VIM
vaargo;appuyer quelque chose;VIA
vaaraaki;appui physique;PPS
vaare;congés;NCP
vaargal;echelle;PPS
vaarle;echelles;PPP
vaarango;parler à quelqu'un;VIA
vaararawol;insinuation;NCS
vaararaaji;insinuations;NCP
vaarndugo;faire courir deux concurrents;VIA
vaarndindirgo;placer deux objets l'un contre l'autre;VIA
vaartaago;cesser de s'appuyer contre quelques choses;VIM
vaartere;blanc de poulet;NCS
vaarte;blancs de poulet;NCP
vaarootirgo;etre assis l'un contre l'autre;VIA
vaargo;donner une garantie d'un emprunt;VIA
vaarannde ;emprunt;PPS
vaaranze;emprunts;PPP
vaartugo;reprendre ou restituer;VIA
varfinaago;s'accroupir;VIM
varfingo;faire accroupir;VIA
vasgo;crepir;VIA
vatnugo;teter pendant la nuit;VIA
vattungu;manque de vigueur;NCS
vattidgo;manquer de vigueur;VIA
vattarre;cicatrice;NCS
vattatte;cicatrices;NCP
vaawoojum;au moins;NCS
vaawowal;troussequin;NCS
vaawol;arriere fait;NCS
vaawi;arrieres faits;NCP
vaawonta;ensuite;C
vaavdinaago;aller apres;VIM
vaqgo;couler;VIA
vayoode;trace de gratage;PPS
vayooze;traces de gratages;PPP
vaaqgo;attirer l'attention de quelqu'un en touchant legeremment du bout de doigt;VIA
ve;ils, elles, les, à eux, à elles, leur, qui, que;PRPCP/PRPSP/DP
vee;"ces, ceux-ci; celles-ci";AJDPP
veen;pronom …;AJDEP
veye;qui, quels, quelles;PR
hamve;eux, elles;PRIP
mavve;d'eux, d'elles, leur, leurs;AJPP
veetaago;desobeir;VIM
veetaare;desobeissance;PPS
veevgo;baisser de niveau;VIA
veevnugo;faire baisser de niveau;VIA
vooxaago;etre ancien;VIM
vellere;graisse;NCS
velle;graisses;NCP
vellingo;etre gras;VIA
venndugo;murir;VIA
venndo;maturité;PPS
venndal;immunité magique contre le mauvais sort;PPS
venndaloore;fruit;NCS
venndalooje;fruits;NCP
venndingo;faire murir;VIA
vennditaago;recuire;VIM
vennditingo;faire recuire;VIA
vennditinaago;faire recuire;VIM
venndilawgo;murir rapidement;VIA
vernde;cœur;NCS
verze;cœurs;NCP
ververo;personne colereuse;NCS
vernugo;se mettre en colere;VIA
vesnugo;enfanter;VIA
vesningo;aider à accoucher;VIA
vesninoowo;accoucheuse;PPS
vesninoove;accoucheuses;PPP
veskoore;chanvre d'Afrique;NCS
veskooje;chanvre d'Afrique;NCP
vetaago;etre constipé;VIM
vetgo;provoquer la constipation;VIA
vewlitgo;avoir la nausée;VIA
vizzo;enfant;NCS
vivve;enfants;NCP
viviñ;tout pres;ID
viicugo;geindre;VIA
vizzugo;serrer;VIA
vizzango;serrer;VIA
vizzindirgo;se serrer;VIA
vilgo;suspendre;VIA
vilaago;etre suspendu;VIM
vildugal;bois ou crochet auquel est suspendu quelques choses;PPS
vilduze;bois ou crochets auquels sont suspendus quelques choses;PPP
viltango;détacher;VIA
viltaago;se pendre;VIM
virre;petite pierre;NCS
villaago;etre etroit;VIM
villugo;rendre etroit;VIA
villaare;etroitesse;NCS
villango;reduire à la misere;VIA
villitaago;sortir de la misere;VIM
villootirgo;etre entassés;VIA
viñingo;etre sur le point de pleurer;VIA
virgo;traire;VIA
viroowo;personne chargée de traire;PPS
viroove;personnes chargées de traire;PPP
virannde;nombre de traites;PPS
viranze;nombres de traites;PPP
virdude;calebasse utilisée pour le traite;PPS
virduze;calebasses utilisées pour le traite;PPP
viirgo;racler le fond;VIA
voovgo;diminuer de volume;VIA
voocaago;etre droit;VIM
voocaare;rectitude;PPS
voocugo;rendre droit;VIA
voccugo;fouetter;VIA
voccootirgo;se donner l'un à l'autre des coups de fouet;VIA
vodgo;avancer lentement;VIA
voodu;ours;NCS
voodi;ours;NCP
voozere;motte de terre seche;NCS
vooze;mottes de terre seche;NCP
voftugo;ramasser;VIA
voftirde;calebasse pour ramasser quelque chose;PPS
voftirze;calebasses pour ramasser quelque chose;PPP
voggol;corde;NCS
voggi;cordes;NCP
vokkaago;agiter quelques choses;VIM
vokkorgo;ventilateur;PPS
vokkorze;ventilateurs;PPP
vokkitaago;s'eventer;VIM
volgo;dépouiller;VIA
voloowo;garcon boucher;PPS
voloove;garcons bouchers;PPP
volannde;endroit ou l'ecorce a été enlevé;PPS
volanze;endroits où les ecorces ont étés enlevés;PPP
volzugo;etre sans bijoux;VIA
voldude;lieux ou l'on enleve la peau des betes abattues;PPS
volduze;lieux ou l'on enleve la peau des betes abattues;PPP
voltugo;decortiquer;VIA
volol;craquelure du sol apres dessication;NCS
voli;craquelures du sol apres dessication;NCP
volingo;faire fondre;VIA
volinoowo;fondeur de métal;PPS
volinoove;fondeur de métal;PPP
volinango;faire fondre pour quelqu'un;VIA
volinirde;creuset en terre cuite pour la fonte du métal;PPS
volinirze;creusets en terre cuite pour la fonte du métal;PPP
volwugo;fondre;VIA
voolde;masse;NCS
voole;masses;NCP
vooldi;arbuste dont le bois est utilisé pour produire du feu par frottement;NCS
vollere;bouton consecutif à une piqure de puce;NCS
volle;boutons consecutifs à une piqure de puce;NCP
vollel;petitbouton consecutif à une piqure de puce;NCS
vollon;petitsboutons consecutifs à une piqure de puce;NCP
volxaago;enlever la partie séche d'une ecorce pour en utiliser la partie tendre.;VIM
vonndugo;etre petit et maigre;VIA
voontugo;attendre quelqu'un avant de commencer à manger;VIA
voontingo;mettre quelqu'un en retard pour le repas;VIA
voontinol;retard causé à quelqu'un;PPS
vorgo;plumer;VIA
voraago;perdre ses poils;VI
vordude;endroit ou l'on a arraché les plumes;PPS
vorduze;endroits où l'on a arraché les plumes;PPP
vornugo;habiller;VIA
vornaago;s'habiller;VIM
vornal;revetement de cuir ;PPS
vornungal;vetement abondant;PPS
vornule;vetements abondants;PPP
boozze;beaux habits;PPS
vornitaago;remettre un vetement;VIM
vortugo;deshabiller;VIA
vortaago;quitter ses vetements;VIM
vortere;dépouille;PPS
vorte;dépouilles;PPP
voore;patate aquatique;NCS
vorwugo;etre lisse;VIA
vorwitgo;cesser d'etre lisse ou glissant;VIA
voosgo;ecraser;VIA
voostugo;ecorcher;VIA
voostaago;s'ecrocher;VIM
voostannde;écorchure;PPS
voostanze;ecorchures;PPP
voosaaru;petit chien;PPS
voosaaji;petits chiens;PPP
voslugo;tordre;VIA
voslaago;se tordre;VIM
voslannde;torsion;PPS
voslanze;torsions;PPP
votitgo;devenir visqueux;VIA
votaandu;action de maintenir la queue d'une vache;NCS
votaali;actions de maintenir la queue d'une vache;NCP
votokoroowol;melange gluant;NCS
votokorooji;melanges gluants;NCP
vottizgo;etre large d'epaules;VIA
vokki;baobab;NCS
vowze;baobabs;NCP
vokkon;petits baobabs;NCP
vowko;grands baobabs;NCP
vownde;gousse de baobab;NCS
vokko;feuilles de baobab;NCS
vowngu;moustique;NCS
voqngu;moustique;NCS
vowzi;moustiques;NCP
vooyma;autrefois;AVT
vuucugo;redresser;VIA
vuucitaago;redresser à nouveaux;VIM
vuccugo;pincer;VIA
vuccere;pincement;PPS
vucce;pincements;PPP
vuzzu;petit ver qui loge dans la terre et penetre sous la peau provoquant un abcès;NCS
vuzzi;petits vers qui logent dans la terre et penetrent sous la peau provoquant un abcès;NCP
vulgo;sourdre;VIA
vunndu;puit;PPS
vulli;puits;PPS
vuldude;arrivée de l'eau dans un puit;PPS
vulduze;arrivées de l'eau dans un puit;PPP
vulvi;arbre à gomme epineux;NCS
vulve;arbres à gomme epineux;NCP
vulumwu;igname;NCS
vulumji;ignames;NCP
vurgo;dépasser;VIA
vuro;superieur;PPS
vurve;superieurs;PPP
vurnugo;donner la preference à;VIA
vurnuki;preference;PPS
vurnango;donner davantage à quelqu'un;VIA
vurnoraago;preferer pour soi;VIM
vurtugo;grandir;VIA
vurtingo;faire des progrès;VIA
vurdindirgo;se dépasser;VIA
vurdindirki;supérieur reciproque;PPS
vurdindirol;superieur reciproque;PPS
vurdindiral;superieur reciproque;PPS
vursugo;égrener;VIA
vursirde;pierre sur laquelle on égrene le coton;PPS
vursirze;pierres sur lesquelles on égrene le coton;PPP
vursirdi;tige de fer servant à egrener;PPS
vursirze;tige de fer servant à egrener;PPP
vusaago;endurer;VIM
vutgo;retenir;VIA
vuutgo;gonfler;VIA
vuudi;enflure;PPS
vuule;enflures;PPP
vuulde;excroissance;NCS
vuule;excroissances;NCP
vuxeego;avoir besoin d'aller à la selle;VIP
vuxgo;donner envie d'aller à la selle;VIA
cen;chainette de collier;U
cerge;variété de sorgho;NCS
cerno;nom propre;NP
ciciire;verge d'incirconcis;NCS
ciciyel;petit verge d'incirconcis;NCS
cicihon;petits verges des incirconcis;NCP
ciiciinaago;suspecter et interroger quelqu'un;VIM
cidaaru;pigeon de guinée;NCS
cidaaji;pigeons de guinée;NCP
cidek;ideophone de sauter;ID
cik;ideophone de remplir;ID
cikgo;completer;VIA
cikango;completer pour quelqu'un;VIA
cilmbol;frange;NCS
cilmbi;franges;NCP
ciimaajo;representant d'un chef;NCS
ciima'en;representants d'un chef;NCP
ciimaaku;fonction de representant;NCS
cimbilol;frange;NCS
cimbili;franges;NCP
cinapaare;embout en terre d'un soufflet de forgeron;NCS
cinapaaje;embouts en terre d'un soufflet de forgeron;NCP
cingooli;felin sauvage;NCS
ciqgirri;graminée spaontanée ressemblant au sorgho;NCS
cip;ideophone;ID
cipa;jeu de marelle assise;U
cir;ideophone;ID
ciraka;champ cultivé à proximité;U
cirakaaji;champs cultivé à proximité;NCP
cirapamwol;sangle pour fixer la selle;NCS
cirapamji;sangles pour fixer la selle;NCP
cirlyu;ideophone;ID
cobbal;petite boulette de farine de farine de sorgho;NCS
cobbe;petites boulettes de farine de farine de sorgho;NCP
cooval;herbe qui repousse apres un feu de brousse;NCS
coove;herbes qui repoussent apres un feu de brousse;NCP
coddungol;tendon d'achille;NCS
codduli;tendons d'achille;NCP
cokkoval;oiseau pecheur;NCS
cokkove;oiseaux pecheurs;NCP
collollu;grand et beau (cheval seulement);NCS
collulli;grands et beaux (chevaux seulement);NCP
conndi;farine;NCS
coqwal;grenier à mil;NCS
coqje;greniers à mil;NCP
congolibaali;arbuste dont le suc est irritant pour la peau;NCS
congor;ideophone;ID
cor;ideophone;ID
corok;ideophone;ID
cot;ideophone;ID
coowoowri;contenu du gros intestin;NCS
coowoowe;contenus du gros intestin;NCP
coowoowje;contenus du gros intestin;NCP
coy;ideophone;ID
cub;ideophone;ID
sub;ideophone;ID
cuuve;boutons secs sur le cou des veaux;NCP
cufu;moustique;NCS
cufi;moustiques;NCP
cukkuri;eau filtrée à travers des cendres;NCS
cukkuuje;eaux filtrées à travers des cendres;NCP
cukuyel;petit oiseau gris foncé;NCS
cukuhon;petits oiseaux gris foncé;NCP
cukucuku;argent remis en sous main à un foctionnaire ;U
cukulol;coiffure de femme;NCS
cukuli;coiffures de femme;NCP
cukuramyel;clé;NCS
cukuramhon;clés;NCP
culanndi;serpent noir;NCS
culazze;serpents noirs;NCP
culuk;ideophone;ID
culumlugum;au cœur de la saison des pluies;NCS
cur;ideophone;ID
cuura;grande maison;NCS
cuuro;grandes maisons;NCP
cuurel;petite maison;NCS
cuuron;petites maisons;NCP
da;conjonction;C
daande;cou;NCS
daaze;cous;NCP
daandewol;corde attachant les poignets d'un prisonnier;NCS
daandeeji;cordes attachants les poignets d'un prisonnier;NCP
ndaa;voici;DS
da'bugo;avoir des selles;VIA
da'be;selles d'un bébé;NCP
da'dugo;etre excellent;VIA
dabaraare;callosité;NCS
dabaraaje;callosités;NCP
dabaraannde;mansion lunaire;NCS
dabare;habileté;NCS
dabarewol;habileté;NCS
dabareeji;habiletés;NCP
dabbugo;passer la saison froide;VIA
dabbunde;saison seche et froide;PPS
dabbuze;saisons seches et froides;PPP
dabbirde;lieu de sejour en saison froide;PPS
dabbirze;lieux de sejour en saison froide;PPP
dabba;bétail;U
dabbaaji;bétails;NCP
dabbaqngaare;bonnet brodé;NCS
dabbaqngaaje;bonnets brodés;NCP
dabbirgo;affranchir un esclave;VIA
ndaafaare;chapeau de pailles à larges bord;NCS
ndaafaaje;chapeaux de pailles à larges bord;NCP
dafxaago;reprimander;VIM
dagaago;etre permis;VIM
dagiiratun;propriété légale;U
daknugo;rendre legal;VIA
daknoowo;celui qui egorge un bete rituellement;PPS
daknoove;celui qui egorge un bete rituellement;PPP
daknango;permettre à;VIA
daktugo;redevenir permis;VIA
daktaago;reprendre ses anciens vetements;VIM
dagaago;partager le butin;VIM
daggo;faire partager;VIA
daago;natte;NCS
daage;nattes;NCP
dag'ika;minute;U
dagaliire;etagere ou siége en argile;NCS
dagaliije;etageres ou siéges en argile;NCP
ndagandagayre;poitrail d'un animal;NCS
ndagandagayje;poitrails des animaux;NCP
dagdaggi;feuille de habiiru;NCS
ndaggaaji;variole;NCP
daggaawol;ligne de bataille;NCS
daggaaji;lignes de bataille;NCP
dagileere;tres grande calebasse;NCS
dagileeje;tres grandes calebasses;NCP
daaginne;boutons purulents sur le cuir chevelu;NCP
dahgo;capturer;VIA
ndahalaagu;prise de guerre;PPS
ndahalaago;razzier;VIM
dahaaba;maintenant;AVT
dajjugo;marcher d'un air;VIA
dajjo;demarche fiere;PPS
dajjooji;demarches fieres;PPP
dajjango;faire le fier à cause de;VIA
dajje;poisons;NCP
dajji;arbustes venereux;NCP
dajjeehi;arbuste venereux;NCS
dajjaal;antéchrist;U
dakgo;mettre en fagot;VIA
dakeere;fagot de branches epineux;PPS
dakeeje;fagots de branches epineux;PPP
daakgo;enlever à un arbre une couronne d'ecorce;VIA
daakaare;garcon ou fille de mœurs;PPS
daakaaje;garcons ou filles de mœurs;PPP
daakaareeku;vie dissolue;PPS
daakaago;courir les filles;VIM
daakgo;rendre libertin;VIA
daakoyaago;aller courir les filles;VIM
dakalu;dépôt laissé dans une fosse par la teinture;U
daket;ideophone;ID
dakkaago;etre sale;VIM
dakkugo;rendre malpropre;VIA
dakkere;petite boulette de pate de sorgho;NCS
dakke;petites boulettes de pate de sorgho;NCP
dakkawol;cloture en tige de sorgho;NCS
dakkaaji;clotures en tige de sorgho;NCP
dakkisaago;remettre à plus tard;VIM
ndakkuna;grosse araignée;U
dakam;saveur;NCS
dakmugo;etre agreable;VIA
dakureehi;couteau porté le long de la cuisse;NCS
dakureeje;couteau porté le long de la cuisse;NCP
dakuwa;mets fait de millet grillé;U
daalgo;se balancer;VIA
dala;piece;U
dala'ilu;petit livre de prieres coraniques;U
dala'iluuje;petits livres de prieres coraniques;NCP
daladuukuure;grand vautour;NCS
daladuukuuje;grands vautours;NCP
dalam;melange d'eau ;NCS
dalamru;case ronde;NCS
dalamji;cases rondes;NCP
daldal;terrain maintenu;NCS
dalde;terrains maintenus;NCP
daldaari;tiges et feuilles de sorgho;NCS
daaldaaltugo;murir;VIA
dalil;nom propre d'homme;NP
daliila;cause;U
daliilaaji;causes;NCP
dallizingo;donner la raison de;VIA
dallizinoraago;donner la raison au moyen de;VIM
dallizgo;etre lent;VIA
dallol;depression de terrain;NCS
dalli;depressions de terrain;NCP
dalma;plomb;U
ndaltiri;rejetons qui poussent apres que la tige de sorgho a été coupée;NCS
daluwal;puisette en cuir ;NCS
daluuje;puisettes en cuir ;NCP
ndamndi;bouc;NCS
damzi;boucs;NCP
daamgo;ennuyer;VIA
daamol;ennui;PPS
daamnugo;ennuyer quelqu'un;VIA
daama;amélioration;U
damaliiliiho;herbe servant de fourrage pour les chevaux;NCS
damaliiliwal;herbe servant de fourrage pour les chevaux;NCS
damaliiliyel;herbe servant de fourrage pour les chevaux;NCS
ndammba;morve;NCS
ndammbaaji;morves;NCP
ndammbeego;s'enrhumer;VIP
ndaambe;filet de peche;NCS
ndaambeeji;filets de peche;NCP
ndaambuwol;filet de peche;NCS
ndaambuuji;filets de peche;NCP
dammugo;pietiner;VIA
damdamtugo;remuer;VIA
damadamaangol;terrain piétiné par le bétail;NCS
dammaana ;garantie donnée par quelqu'un;U
dammaanaago;se porter garant;VIM
dammbugo;tenir en reclusion;VIA
dammbaago;etre en reclusion;VIM
dammbuki;etre en reclusion;PPS
dammbaaki;etre en reclusion;PPS
dammbol;etre en reclusion;PPS
dammbirgo;etre en reclusion;VIA
dammboraago;etre en reclusion;VIM
dammbitaago;sortir de reclusion;VIM
dammbal;plate forme d'argile;NCS
dammbalre;plate forme d'argile;NCS
dammbalje;plate forme d'argile;NCP
dammbula;interjection marquant l'etonnement;I
dammbulaare;geste obscene des cinq doigts à moitié ecartés;NCS
dammugal;ouverture de case;NCS
dammuze;ouvertures des cases;NCP
dampugo;donner volontairement un coup de pied;VIA
dampuki;donner volontairement un coup de pied;PPS
dampol;donner volontairement un coup de pied;PPS
dampal;coup de pied;PPS
dampe;coups de pieds;PPP
dampingo;donner un coup de pied;VIA
dampirgo;donner a nouveau un coup de pied;VIA
dampingo;donner un coup de pied;VIA
dampirgo;donner a nouveau un coup de pied;VIA
dampindirgo;se battre à coups de pieds;VIA
dampindirki;bataille à coups de pieds;PPS
dampugo;construire;VIA
dampaani;cloture en nattes ou en pailles;U
dampaaniwol;cloture en nattes ou en pailles;NCS
dampaaniiji;clotures en nattes ou en pailles;NCP
damsali;criniére;U
damsaliiha;criniére;NCS
damsaliiji;criniéres;NCP
daanngol;corde ou l'on attache les veaux;NCS
daanzi;cordes ou l'on attache les veaux;NCP
daanabaawal;boulette de farine tres fine de mil ou de riz;NCS
deenebaawal;boulette de farine tres fine de mil ou de riz;NCS
dandanndol;poil gris ;NCS
dandanndi;poils gris ;NCP
daqki;abri;NCS
daqze;abris;NCP
daqngel;petit abri;NCS
ndaqkon;petits abris;NCP
daqkiije;part d'heritage;NCP
daaqaalal;os de la hanche;NCS
daaqaale;os des hanches;NCP
daqkali;patate douce;U
daqkaliire;fleche dont la pointe est garnie de cire ;NCS
daqkaaliije;fleches dont les pointes sont garnies de cire ;NCP
daqkanaahi;couteau porté le long de la cuisse;NCS
daqkanaaje;couteaux portés le long de la cuisse;NCP
daqko;caoutchouc;U
daqkora;capuchon;U
daqngay;prison;U
daqngayjo;prisonnier;NCS
daqngay'en;prisonniers;NCP
daqraqal;bois fourchu servant de poteau pour soutenir les traverses;NCS
daqraqe;bois fourchus servant de poteaux pour soutenir les traverses;NCP
daqngalwal;parc à bestiaux;NCS
daqngalje;parcs à bestiaux;NCP
dañgo;enfanter;VIA
dañeego;naitre;VIP
dañki;naitre;PPS
dañol;naissance;PPS
dañeeki;naissance;PPS
dañngol;maternité;PPS
dañango;donner un enfant à;VIA
dañdugo;avoir un enfant avec quelqu'un;VIA
dañdeego;etre congenital;VIP
dañdal;le fait d'avoir un enfant ensemble;PPS
dañnugo;le fait d'avoir un enfant ensemble;VIA
dañrugo;le fait d'avoir un enfant ensemble;VIA
dañdañtirgo;avoir beaucoup d'enfants ;VIA
daaptugo;pincer;VIA
daaptuki;pincer;PPS
daaptol;pincer;PPS
daaptere;pincement;PPS
daaptere;pincement;PPS
daaptingo;pincement;VIA
daaptirgo;pincement;VIA
daraago;se tenir debout;VIM
daraaki;se tenir debout;PPS
darol;se tenir debout;PPS
darnde;taille;NCS
darze;tailles;NCP
darngal;resurrection finale;NCS
daranaago;se tenir pres de quelqu'un;VIM
darodaago;se tenir;VIM
darnugo;fixer;VIA
darna;dot;PPS
darnaango;debut de la priere rituelle;VIA
darnitgo;redresser;VIA
daroraago;se tenir debout au moyen de;VIM
darorde;endroit ou l'on se tient;PPS
darorze;endroits ou l'on se tient;PPP
dartaago;se relever;VIM
dartaare;assurance;PPS
dartinango;redresser pour quelqu'un;VIA
dartoraago;s'appuyer sur;VIM
dartitingo;redresser;VIA
darootirgo;se mettre d'accord;VIA
dardarnde;position debout;NCS
dartingo;redresser;VIA
dartidartingo;aller et venir en s'occupant de beaucoup de choses sans importance;VIA
daaro;illusion d'optique;PPS
daraja;gloire;U
darjizgo;etre glorieux;VIA
darjizingo;honorer;VIA
ndarapaari;variété de  sorgho repiqué à grains jaunes ;NCS
darvokki;faux baobab;NCS
darvowze;faux baobabs;NCP
darvokko;feuille;NCS
dare;sorte de jeu de marelle assise;U
dargere;animal qui a les pattes blanches;NCS
darge;animaux qui ont les pattes blanches;NCP
dargizgo;avoir les pattes blanches ;VIA
dargeego;avoir les pattes blanches ;VIP
ndarganawal;bouclier;NCS
ndarganaaje;boucliers;NCP
ndaariko;viande séche;NCS
darmaami;fleur de nénuphar;NCS
darmanaami;fleur de nénuphar;NCS
daaro;grande cuvette;NCS
daarooje;grande cuvette;NCP
darsugo;s'arreter brusquement;VIA
darsuki;s'arreter brusquement;PPS
darsol;s'arreter brusquement;PPS
darsingo;s'arreter brusquement;VIA
darsirgo;s'arreter brusquement;VIA
darseere ;lecon;NCS
darseeje;lecons;NCP
daru;estime;NCS
dasgo;trainer;VIA
dasaago;se trainer;VIM
dasango;trainer au benefice de;VIA
dasdugo;trainer ensemble;VIA
dasinorgol;trace de trainage;PPS
dasinorzi;trace de trainage;PPP
dasinorli;trace de trainage;PPP
dasorgol;trainée;PPS
dasorzi;trainée;PPP
dasootirgo;tirée cahcun de son coté;VIA
dasootirki;action de tirer en sens opposé;PPS
dasdastirgo;tirailler;VIA
da salla;bonne fete;U
dasngaljo;clan peul;NCS
dasgal'en;clans peuls;NCP
daaten;auparavant;AVT
dawgo;partir de bonne heure;VIA
dawki;partir de bonne heure;PPS
dawol;partir de bonne heure;PPS
dawango;se produire de bonne heure pour quelqu'un;VIA
daftugo;partir de bonne heure pour rentrer chez soi;VIA
daftol;un tel voyage;PPS
daftingo;un tel voyage;VIA
dawdawre;pluie matinale;NCS
dawdawe;pluies matinales;NCP
daqngo;cuisse;NCS
dawze;cuisses;NCP
daqngel;petite cuisse;NCS
ndawkon;petites cuisses;NCP
ndawu;autruche;NCS
dabbi;autruches;NCP
dabbel;petit autruche;NCS
ndabbon;petits autruches;NCP
dawa;encre;U
dawaaji;encres;NCP
dawaaru;encrier;NCS
dawaaji;encriers;NCP
dawango;surprendre en matinée;VIA
dawda;david;NP
dawla;richesse;U
dawooraaku;forte constitution;NCS
dawrugo;déliberer;VIA
dawruki;déliberer;PPS
dawrol;déliberer;PPS
dawrango;conseiller;VIA
dawridgo;déliberer ensemble;VIA
dawringo;déliberer ensemble;VIA
dawrirgo;déliberer ensemble;VIA
dawritaago;déliberer à nouveau;VIM
dawrawol;vetement maculin;NCS
dawraaji;vetements maculins;NCP
dawtoral;oiseau de brousse;NCS
dawtore;oiseaux de brousse;NCP
daayaago;etre loin;VIM
daayaare;eloignement;PPS
daaynugo;éloigner;VIA
daaynaago;s'eloigner;VIM
daayningo;eloigner pour;VIA
daayootirgo;etre loin l'un de l'autre;VIA
daydaare;accumulation de vieux chiffon;NCS
daydaaje;accumulations des vieux chiffons;NCP
ndayewu;bulbe de glaieul;NCS
dayeeji;bulbes de glaieul;NCP
ndayri;fruit;NCS
daysugo;mépriser;VIA
daysuki;meprisant;PPS
daysol;mepris;PPS
daysingo;mepriser;VIA
daysirgo;mepriser;VIA
ndayyewu;gros et rapide (cheval seulement);NCS
dayyeeji;gros et rapides (chevaux seulement);NCP
daaxgo;attacher les veaux à l'endroit qui leur est réservé;VIA
daaxki;attacher les veaux à l'endroit qui leur est réservé;PPS
daaxol;attacher les veaux à l'endroit qui leur est réservé;PPS
daaxre;troupeau de veaux;NCS
daaxal;troupeau de veaux;NCS
defeego ;etre cuit;VIP
defre;bonne cuisine;NCS
defe;bonnes cuisines;NCP
defaare;calebasse portée sur la main;NCS
defaaje;calebasses portées sur la main;NCP
defango;faire la cuisine;VIA
defdugo;cuire ensemble;VIA
defnugo;cuire;VIA
defrugo;faire cuire;VIA
defrude;marmite;PPS
defrudu;cuisine;PPS
defruzi;cuisines;PPP
defteego;recuire;VIP
defal;obligation rituelle;NCS
deftingo;imposer une obligation;VIA
deftere;livre;NCS
defte;livres;NCP
deftel;petit livre;NCS
ndefton;petits livress;NCP
deeftugo;baisser;VIA
deeftuki;se calmer;PPS
deeftol;se calmer;PPS
deeftingo;se calmer;VIA
deeftirgo;se calmer;VIA
dekkugo;tomber;VIA
dekkuki;tomber ;PPS
dekkol;tomber;PPS
dekkingo;tomber;VIA
del;ideophone;ID
delem;ideophone;ID
deeliwol;lettre arabe;U
deemaago;parler ou lire lentement ;VIM
deemaaki;parler ou lire lentement ;PPS
deemol;parler ou lire lentement ;PPS
deemnugo;parler ou lire lentement ;VIA
deemoraago;parler ou lire lentement ;VIM
demmbugo;tomber au fond de l'eau;VIA
demmbere;depot;PPS
demmbe;depots;PPP
demmbingo;depot;VIA
demmbirgo;depot;VIA
demsindaago;parler ou lire lentement avec de nombreuses pauses;VIM
demsindaaki;bonne articulation;PPS
demsindol;bonne articulation;PPS
demsindaare;bonne articulation;PPS
nden;à ce moment;AVT
deengo;teindre en bleu clair;VIA
deenki;teindre en bleu clair;PPS
deenol;teindre en bleu clair;PPS
deennugo;teindre en bleu clair;VIA
deenrugo;teindre en bleu clair;VIA
dendene;partie inferieure de la cloison nasale;NCS
denzirgo;etre cousin;VIA
denziraawo;cousin croisé;PPS
denziraave;cousins croisés;PPP
denziraagu;parenté entre cousin;PPS
denzootirgo;plaisanter entre cousin;VIA
deqngeere;nom d'herbe;NCS
deqgeeje;noms d'herbe;NCP
deqngeswol;piege à gibier;NCS
deqngesji;pieges à gibier;NCP
deppaago;se ramasser sur soi-meme ;VIM
deppugo;raccourcir;VIA
deppaaki;raccourcir;PPS
deppuki;raccourcir;PPS
deppol;raccourcir;PPS
deppel;enfant chetif;PPS
deppitaago;tomber en position accroupie;VIM
ndeppu;pois de terre;NCS
deppi;pois de terre;NCP
deergo;renverser un liquide par terre;VIA
deerki;renverser un liquide par terre;PPS
deerol;renverser un liquide par terre;PPS
deernugo;renverser un liquide par terre;VIA
deerdugo;renverser un liquide par terre;VIA
nder;à l'interieur;AVL
derfugo;dédaigner;VIA
derfuki;dédaigner;PPS
derfol;dedaigner;PPS
derfingo;dedaigner;VIA
derfirgo;dedaigner;VIA
derkeejo;jeune;NCS
derke'en;jeunes;NCP
nderkaaku;enfance;NCS
derkizgo;etre jeune;VIA
deertowal;lime;PPS
deertooje;limes;PPP
deertugo;limer;VIA
deertuki;limer;PPS
deertol;limer;PPS
deertingo;limer;VIA
deertirgo;limer;VIA
deertorgal;lime;PPS
deertorze;limes;PPP
deesa;doucement;PPS
deesingo;dessiner;VIA
deesgo;broder;VIA
deesinango;dessiner pour quelqu'un;VIA
dewgo;rester;VIA
dewki ;rester;PPS
dewol;rester;PPS
dewrugo;demeurer en flaques;VIA
dewerde;flaque d'eau;NCS
dewerle;flaques d'eau;NCP
dewerziraawo;frere ou sœur;NCS
dewerziraave;frere ou sœur;NCP
ndewerziraagu;fraternité;NCS
deerzirgo;fraterniser;VIA
deydey;juste selon;U
deyel;petite femme;NCS
deylitgo;renverser;VIA
deylitaago;se renverser;VIM
deylitki;se renverser;PPS
deylitaaki;se renverser;PPS
deylitol;se renverser;PPS
de'ugo;etre calme;VIA
dexxuki;etre calme ;PPS
dexxol;etre calme;PPS
dexxitgo;se calmer;VIA
dexxitaago;etre calme;VIM
dexxitingo;calmer;VIA
dibinoore;datte;NCS
dibinooje;dattes;NCP
dibinoowal;palme;NCS
diibuwa;brume;NCS
diibuuji;brumes;NCP
divvugo;frapper du pied;VIA
divdivtugo;etre agité;VIA
diccaago;s'agenouiller;VIM
diidgo;tracer;VIA
